Name,Playing Date,end date,Location,Duration (s),Spot/day,"Slot taken ",Free/Commercial,Client,Content
Disk Bandung Sespima Polri,"November 17, 2023 → November 25, 2023","November 25, 2023",Lembang,30,60,0.25,Free,,
Disk Tegal Bebas Denda,"October 20, 2023 → December 25, 2023","December 25, 2023",Tegal,30,60,0.25,Free,,
Disk Karawang Pemilu Damai,"November 17, 2023 → November 23, 2023","November 23, 2023",Karawang,30,60,0.25,Free,,
Disk Karawang Mojang Jajaka,"November 17, 2023 → November 19, 2023","November 19, 2023",Karawang,30,60,0.25,Free,,
Disk Bekasi ADMM Bekasi 2,"November 16, 2023 → November 18, 2023","November 18, 2023",Bekasi,15,60,0.25,Free,,
Disk Bandung Sespima Polri,"November 15, 2023 → November 25, 2023","November 25, 2023",Soreang,30,60,0.25,Free,,
Disk Subang Olahraga Tradisional,"November 15, 2023 → November 18, 2023","November 18, 2023",Subang,15,60,0.25,Free,,
Disk Bekasi ADMM Bekas,"November 15, 2023 → November 17, 2023","November 17, 2023",Bekasi,15,60,0.25,Free,,
Disk Pandeglang Harga Bahan Pokok,"November 14, 2023 → November 19, 2023","November 19, 2023",pandeglang,15,60,0.25,Free,,
"Disk Bogor Hari Pahlawan Nasional, Hari Kesehatan Nasional","November 14, 2023 → November 19, 2023","November 19, 2023","Cibinong, Sentul",15,60,0.25,Free,,
"Disk Bogor Perpanjang SIM, Ujian SIM","November 10, 2023 → November 13, 2023","November 13, 2023","Cibinong, Sentul",15,60,0.25,Free,,
Disk Bekasi Bekasi Bersama Palestina,"November 11, 2023 → November 17, 2023","November 17, 2023",Bekasi,15,60,0.25,Free,,
Disk Subang Hari Pahlawan Subang 3,"November 10, 2023 → November 13, 2023","November 13, 2023",Subang,15,60,0.25,Free,,
Disk Pandeglang Solidaritas Palestina,"November 9, 2023 → November 13, 2023","November 13, 2023",pandeglang,30,60,0.25,Free,,
Disk Subang Kirab Pemilu Subang,"November 7, 2023 → November 19, 2023","November 19, 2023",Subang,30,60,0.25,Free,,
Disk Pandeglang Kompetisi Inovasi,"November 7, 2023 → November 13, 2023","November 13, 2023",pandeglang,30,60,0.25,Free,,
"Disk Bogor Kurangi Sampah Plastik, Prosedur Selamat Gempa, Pengobatan Monkeypox,
Mitigasi bencana","November 7, 2023 → November 13, 2023","November 13, 2023","Cibinong, Sentul",15,60,0.25,Free,,
Disk Pandeglang Uji Bakar,"October 31, 2023 → November 6, 2023","November 6, 2023",pandeglang,30,60,0.25,Free,,
Disk Bogor Protein Tubuh,"October 30, 2023 → November 5, 2023","November 5, 2023","Cibinong, Sentul",15,60,0.25,Free,,
Disk Pandeglang Selamat Datang PMII,"October 31, 2023 → November 1, 2023","November 1, 2023",pandeglang,15,60,0.25,Free,,
Disk Bogor Sumpah Pemuda,"October 30, 2023 → November 1, 2023","November 1, 2023","Cibinong, Sentul",15,60,0.25,Free,,
Disk Garut Indonesia Maju,"October 27, 2023 → November 2, 2023","November 2, 2023",Garut,15,60,0.25,Free,,
Disk Tegal Tolak Politik Uang,"October 26, 2023 → November 2, 2023","November 2, 2023",Tegal,30,60,0.25,Free,,
Disk Bogor Gebyar Nusantara,"October 27, 2023 → October 30, 2023","October 30, 2023","Cibinong, Sentul",15,60,0.25,Free,,
Disk Pandeglang Bantuan Pesantren,"October 24, 2023 → October 30, 2023","October 30, 2023",pandeglang,30,60,0.25,Free,,
Disk Garut MPP Garut,"October 24, 2023 → October 30, 2023","October 30, 2023",Garut,15,60,0.25,Free,,
Disk Tegal Pasar Tani,"October 24, 2023 → October 27, 2023","October 27, 2023",Tegal,15,60,0.25,Free,,
Disk Tegal Cinta Rupiah I,"October 21, 2023 → October 27, 2023","October 27, 2023",Tegal,30,60,0.25,Free,,
Disk Bandung Piala Dunia U-17,"October 20, 2023 → November 18, 2023","November 18, 2023",Serang,30,60,0.25,Free,,
Disk Subang Pemutihan Pajak,"October 18, 2023 → December 16, 2023","December 16, 2023",Subang,30,60,0.25,Free,,
"Disk Bogor Efek Cuaca Panas, Tips Cegah Heat Stroke","October 18, 2023 → October 24, 2023","October 24, 2023","Cibinong, Sentul",15,60,0.25,Free,,
Kominfo,"November 20, 2023 → December 20, 2023","December 20, 2023",Sentul,15,240,0.5,Commercial,SMF / Antara,Indonesia Back to the map
RRI-Bintang Radio,"November 8, 2023 → November 21, 2023","November 21, 2023",Bekasi,30,240,1,Commercial,PT Garuda Trimatra Komunikasi,RRI Promo
Pamali 2,"October 21, 2023 → October 25, 2023","October 25, 2023",Bekasi,30,240,1,Commercial,Light Bridge,Pamali 2_Bekasi Trace Center
Pamali 2,"October 19, 2023 → October 25, 2023","October 25, 2023",Tasikmalaya,30,120,0.5,Commercial,Light Bridge,Pamali 2_Taman kota tasikmalaya
Pamali 2,"October 19, 2023 → October 20, 2023","October 20, 2023",Bekasi,30,180,0.75,Commercial,Light Bridge,Pamali 2_Bekasi Trace Center
Disk Tasikmalaya Rundown HUT Tasik,"October 16, 2023 → November 1, 2023","November 1, 2023",Tasikmalaya,30,60,0.25,Free,,
Disk Bandung Agro Festival,"October 16, 2023 → October 24, 2023","October 24, 2023",Soreang,30,60,0.25,Free,,
Disk Tasikmalaya Bandara Wiriadinata,"October 13, 2023 → October 19, 2023","October 19, 2023",Tasikmalaya,15,60,0.25,Free,,
Disk Bandung Imbauan Selamat Berkendara,"October 13, 2023 → October 19, 2023","October 19, 2023",Soreang,30,60,0.25,Free,,
Disk Garut Kirab Pemilu,"October 11, 2023 → October 21, 2023","October 21, 2023",Garut,15,60,0.25,Free,,
Disk Tegal Cinta Rupiah,"October 10, 2023 → October 16, 2023","October 16, 2023",Tegal,30,60,0.25,Free,,
"Disk Tegal Judo TNI, Wayang Kulit TN","October 6, 2023 → October 11, 2023","October 11, 2023",Tegal,30,60,0.25,Free,,
Disk Subang Wayang Kulit TNI Subang,"October 6, 2023 → October 11, 2023","October 11, 2023",Subang,30,60,0.25,Free,,
Disk Bogor Dirgahayu TNI Bogor IV,"October 6, 2023 → October 9, 2023","October 9, 2023","Cibinong, Sentul",15,60,0.25,Free,,
Disk Bandung HUT TNI Kab Bandung,"October 4, 2023 → October 10, 2023","October 10, 2023",Soreang,15,60,0.25,Free,,
Disk Tegal HUT TNI Tegal,"October 4, 2023 → October 10, 2023","October 10, 2023",Tegal,30,60,0.25,Free,,
Disk Bogor Dirgahayu TNI Bogor III,"October 4, 2023 → October 9, 2023","October 9, 2023","Cibinong, Sentul",15,60,0.25,Free,,
Disk Subang AIS Forum,"October 3, 2023 → October 11, 2023","October 11, 2023",Subang,30,60,0.25,Free,,
"Disk Bogor Dirgahayu TNI Bogor I, Dirgahayu TNI Bogor II, Bupati Beri BPJS, Hari Pancasila","October 3, 2023 → October 9, 2023","October 9, 2023","Cibinong, Sentul",15,60,0.25,Free,,
Disk Pandeglang  Dirgahayu TNI Pandeglang,"October 3, 2023 → October 9, 2023","October 9, 2023",pandeglang,15,60,0.25,Free,,
Shani indira bday project,"October 5, 2023","October 5, 2023",Tasikmalaya,30,60,0.25,Commercial,Light Bridge,Shani indira bday project_Taman Kota Tasikmalaya
Disk Pandeglang Paritrana Award,"September 29, 2023 → October 5, 2023","October 5, 2023",pandeglang,30,60,0.25,Free,,
"Disk Bogor Harga Kebutuhan Pokok, Hari Libur dan Cuti, Gunakan Masker","September 27, 2023 → October 3, 2023","October 3, 2023","Cibinong, Sentul",15,60,0.25,Free,,
Disk Karawang Duta Genre IV,"September 27, 2023 → October 3, 2023","October 3, 2023",Karawang,30,60,0.25,Free,,
Disk Bekasi Kejurnas Judo,"August 27, 2023 → October 3, 2023","October 3, 2023",Bekasi,15,60,0.25,Free,,
Disk Bogor Centronia,"September 21, 2023 → September 27, 2023","September 27, 2023",Sentul,15,60,0.25,Free,,
Disk Pandeglang Hari Badak,"September 21, 2023 → September 26, 2023","September 26, 2023",pandeglang,30,60,0.25,Free,,
Disk Pandeglang Bupati Dukung Poktan,"September 20, 2023 → September 26, 2023","September 26, 2023",pandeglang,30,60,0.25,Free,,
"Disk Tegal Keluarga Cerdas Pangan, Wirausaha Pemuda","September 20, 2023 → September 26, 2023","September 26, 2023",Tegal,30,60,0.25,Free,,
Disk Bogor Inari Expo,"September 20, 2023 → September 24, 2023","September 24, 2023","Cibinong, Sentul",30,60,0.25,Free,,
"Disk Pandeglang Kirab Pemilu, Evaluasi SPBE","September 14, 2023 → September 20, 2023","September 20, 2023",pandeglang,30,60,0.25,Free,,
Disk Tasikmalaya Hari Jadi SMAN 1 Tasik,"September 12, 2023 → September 18, 2023","September 18, 2023",Tasikmalaya,15,60,0.25,Free,,
Disk Karawang Konsturasi,"September 11, 2023 → September 15, 2023","September 15, 2023",Karawang,30,60,0.25,Free,,
Disk Serang KTT ASEAN Serang,"September 5, 2023 → September 12, 2023","September 12, 2023",Serang,30,60,0.25,Free,,
"Disk Pandeglang Hari Lalu Lintas I, Hari Lalu Lintas II","September 8, 2023 → September 23, 2023","September 23, 2023",pandeglang,30,60,0.25,Free,,
Disk Bogor Pelantikan Bupati,"September 5, 2023 → September 11, 2023","September 11, 2023","Cibinong, Sentul",15,60,0.25,Free,,
"Disk Tegal Produk Hukum 2, KTT ASEAN Tegal","September 5, 2023 → September 11, 2023","September 11, 2023",Tegal,30,60,0.25,Free,,
Disk Pandeglang Pulau Liwungan,"September 1, 2023 → September 14, 2023","September 14, 2023",pandeglang,30,60,0.25,Free,,
Disk Bogor Info Kejaksaan,"August 31, 2023 → September 2, 2023","September 2, 2023","Cibinong, Sentul",15,60,0.25,Free,,
Disk Bogor Pelantikan KONI,"August 29, 2023 → August 31, 2023","August 31, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Bogor GAB Bogofest,"August 25, 2023 → August 31, 2023","August 31, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Bogor Bogor Overland,"August 25, 2023 → August 28, 2023","August 28, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Bogor CASN Kejaksaan,"August 25, 2023 → August 31, 2023","August 31, 2023","Cibinong, Sentul",15,60,0.25,Free,,
"KTT ASEAN ","August 24, 2023 → September 9, 2023","September 9, 2023","Bekasi, Cibinong, Garut, Karawang, Lembang, Sentul, Serang, Soreang, Subang, Tasikmalaya, Tegal, pandeglang",30,60,0.25,Free,,
Disk Pandeglang Pelantikan PNS,"August 22, 2023 → August 28, 2023","August 28, 2023",pandeglang,30,60,0.25,Free,,
"Disk Karawang HUT Karawang ","August 25, 2023 → September 15, 2023","September 15, 2023",Karawang,30,60,0.25,Free,,
Disk Tegal Apel Hadapi Bencana,"August 13, 2023 → August 16, 2023","August 16, 2023",Tegal,15,60,0.25,Free,,
Disk Tegal Sedekah Bumi Waduk,"August 13, 2023 → August 16, 2023","August 16, 2023",Tegal,15,60,0.25,Free,,
Disk Karawang Duta Genre III,"August 10, 2023 → August 23, 2023","August 23, 2023",Karawang,30,60,0.25,Free,,
Disk Bogor Rangkaian HUT RI,"August 9, 2023 → August 18, 2023","August 18, 2023","Cibinong, Sentul",15,60,0.25,Free,,
Disk Bogor Cara Kibarkan Bendera,"August 9, 2023 → August 18, 2023","August 18, 2023","Cibinong, Sentul",15,60,0.25,Free,,
Disk Pandeglang Seminar Bidan,"August 9, 2023 → August 15, 2023","August 15, 2023",pandeglang,30,60,0.25,Free,,
Disk Pandeglang Pelatihan Linmas,"August 9, 2023 → August 15, 2023","August 15, 2023",pandeglang,30,60,0.25,Free,,
Disk Tegal Bahaya Timbal,"July 31, 2023 → August 6, 2023","August 6, 2023",Tegal,30,60,0.25,Free,,
Disk Tegal Bupati Lepas Contingen,"July 31, 2023 → August 6, 2023","August 6, 2023",Tegal,30,60,0.25,Free,,
Disk Pandeglang HUT RI Pandeglang,"July 28, 2023 → August 18, 2023","August 18, 2023",pandeglang,30,60,0.25,Free,,
Disk Pandeglang Target 3 Besar MTQ,"July 28, 2023 → August 3, 2023","August 3, 2023",pandeglang,30,60,0.25,Free,,
Shani indira bday project,"October 5, 2023","October 5, 2023",Serang,30,60,0.25,Commercial,Light Bridge,Shani indira bday project_Taman K3 Ciceri
Bea cukai,"September 14, 2023 → September 16, 2023","September 16, 2023",Bekasi,30,60,0.25,Commercial,Light Bridge,Bea cukai
DPMPTSP Prov banten,"July 28, 2023 → August 29, 2023","August 29, 2023",Serang,30,120,0.5,Commercial,Titik media indonesia,DPMPTSP Prov banten
BPN,"July 26, 2023 → August 24, 2023","August 24, 2023","Serang, pandeglang",30,240,1,Commercial,PT. Gayeng Mas Abadi,BPN Hotline pengaduan
Disk Tasik Kejati Tasik,"August 25, 2023 → September 15, 2023","September 15, 2023",Tasikmalaya,15,60,0.25,Free,,
Disk Tasik BNN Tasik,"July 24, 2023 → August 24, 2023","August 24, 2023",Tasikmalaya,30,60,0.25,Free,,
Disk Pandeglang Bupati Dukung Aksari,"July 24, 2023 → July 30, 2023","July 30, 2023",pandeglang,30,60,0.25,Free,,
Disk Tegal Layanan Kesehatan Jamu,"July 24, 2023 → July 30, 2023","July 30, 2023",Tegal,30,60,0.25,Free,,
PPDB jabar,"July 17, 2023","July 17, 2023",Tasikmalaya,30,60,0.25,Commercial,Liza Supriatin,PPDb Provinsi jabar
Disk Bandung Tiraqu App2,"June 12, 2023 → August 12, 2023","August 12, 2023",Soreang,30,60,0.25,Free,,
Disk Tegal Operasi Patuh Candi,"July 11, 2023 → July 23, 2023","July 23, 2023",Tegal,30,60,0.25,Free,,
Disk Subang Job Center,"July 11, 2023 → July 17, 2023","July 17, 2023",Subang,30,60,0.25,Free,,
Disk Garut Bhakti Adhyaksa 2,"July 11, 2023 → July 22, 2023","July 22, 2023",Garut,30,60,0.25,Free,,
Disk Garut Kejati Garut,"August 25, 2023 → September 15, 2023","September 15, 2023",Garut,15,60,0.25,Free,,
Disk Garut Bhakti Adhyaksa 1,"July 11, 2023 → July 22, 2023","July 22, 2023",Garut,30,60,0.25,Free,,
Disk Bandung Tiraqu App,"July 9, 2023 → July 15, 2023","July 15, 2023",Soreang,30,60,0.25,Free,,
Disk Bogor Usia Stunting,"July 7, 2023 → July 13, 2023","July 13, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Karawang Pasukan Tengkorak,"July 7, 2023 → July 13, 2023","July 13, 2023",Karawang,30,60,0.25,Free,,
Disk Bogor Wayang Kulit,"July 7, 2023 → July 8, 2023","July 8, 2023","Cibinong, Sentul",30,60,0.25,Free,,
"Disk Bogor Rutin Aktivitas ","July 7, 2023 → July 13, 2023","July 13, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Bogor Cegah Kurang Gizi,"July 7, 2023 → July 13, 2023","July 13, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Bogor Spring Valley,"July 4, 2023 → July 19, 2023","July 19, 2023",Sentul,30,60,0.25,Free,,
bjb,"July 4, 2023 → July 3, 2024","July 3, 2024",Tegal,15,,1,Commercial,PT. Tunggal Eka Kencana,"BJB Digi Series 30 detik
BJB tandamata 15 detik
BJB KPR General 15 detik"
Disk Subang Subang Invest Summit,"August 25, 2023 → August 31, 2023","August 31, 2023",Subang,30,60,0.25,Free,,
UT 2023 Bandung,"July 3, 2023 → July 31, 2023","July 31, 2023","Soreang, Subang, Tasikmalaya",30,120,0.5,Commercial,Gritz Communication,Videotron UT 2023 revisi
UT 2023 Bandung,"July 1, 2023 → July 2, 2023","July 2, 2023","Lembang, Soreang, Tasikmalaya",30,120,0.5,Commercial,Gritz Communication,Videotron UT 2023 revisi
"Disk Garut Bhayangkara Polri ","July 1, 2023 → July 5, 2023","July 5, 2023",Garut,30,60,0.25,Free,,
Disk Bogor Transportasi umum tanpa masker,"June 29, 2023 → July 4, 2023","July 4, 2023","Cibinong, Sentul",30,60,0.25,Free,,
"Disk Bogor Marak Penipuan Digital ","June 29, 2023 → July 4, 2023","July 4, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Bogor Libur Idul Adha,"June 29, 2023 → July 4, 2023","July 4, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Tasik Idul Adha Tasik,"June 28, 2023 → July 2, 2023","July 2, 2023",Tasikmalaya,30,60,0.25,Free,,
Disk Bogor Selamat Idul Adha,"June 26, 2023 → June 30, 2023","June 30, 2023","Cibinong, Sentul",30,60,0.25,Free,,
"Disk Pandeglang Anti Korupsi Internal ","June 23, 2023 → June 29, 2023","June 29, 2023",pandeglang,30,60,0.25,Free,,
Disk Tegal Pilkades,"June 21, 2023 → July 4, 2023","July 4, 2023",Tegal,30,60,0.25,Free,,
"Disk Soreang Info Lelang Kejaksaan ","June 21, 2023 → June 27, 2023","June 27, 2023",Soreang,30,60,0.25,Free,,
Disk Bogor HUT Polri 77,"June 27, 2023 → July 5, 2023","July 5, 2023","Cibinong, Sentul",30,60,0.25,Free,,
,,,,,,,Free,,
Disk Bogor Pelantikan KONI,"August 29, 2023 → August 31, 2023","August 31, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Pandeglang Rembug Stunting,"June 19, 2023 → June 25, 2023","June 25, 2023",pandeglang,30,60,0.25,Free,,
"Disk Bogor Lelang Kejaksaan ","June 19, 2023 → June 24, 2023","June 24, 2023","Cibinong, Sentul",30,40,0.25,Free,,
Bea cukai Pos Pasar Baru,"June 19, 2023 → June 23, 2023","June 23, 2023",Bekasi,30,60,0.25,Commercial,Light Bridge,Bea cukai Pos Pasar Baru
"Disk Bogor Hari Jamu ","June 18, 2023 → June 24, 2023","June 24, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Bandung Seminar Sekolah Polri,"June 16, 2023 → July 5, 2023","July 5, 2023",Soreang,30,60,0.25,Free,,
Disk Subang KPU Pemilu 2024,"June 16, 2023 → June 28, 2023","June 28, 2023",Subang,30,60,0.25,Free,,
Disk Grand Final Putri Otonomi,"June 14, 2023 → June 20, 2023","June 20, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Karawang HUT Karawang,"August 25, 2023 → September 15, 2023","September 15, 2023",Karawang,30,60,0.25,Free,,
Disk Karawang HUT Karawang,"August 25, 2023 → September 15, 2023","September 15, 2023",Karawang,30,60,0.25,Free,,
Disk Tasik Penerimaan Tamtama,"June 14, 2023 → June 30, 2023","June 30, 2023",Tasikmalaya,30,60,0.25,Free,,
BJB,"June 14, 2023 → June 14, 2024","June 14, 2024",Soreang,30,240,1,Commercial,PT. Tunggal Eka Kencana,"1. Bumper BJB Logo
2. Motion BJB
3.bjb digi series 
4. bjb tandamata
5. bjb tandamata berjangka"
Fornas 2023,"June 11, 2023 → July 10, 2023","July 10, 2023",Soreang,30,120,0.5,Commercial,CV. Boma Cipta Citra,"1. RK Tanpa Fornas @60
2. Fornas 23 - Teaser @60"
Disk Tegal Launching Rames,"July 14, 2023","June 12, 2023 → July 14, 2023",Tegal,30,60,0.25,Free,,
Disk Bogor Satyalancana Wira Karya 2,"June 12, 2023 → June 18, 2023","June 18, 2023","Cibinong, Sentul",30,60,0.25,Free,,
"Disk Bogor Satyalancana Wira Karya ","June 12, 2023 → June 18, 2023","June 18, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Tegal e Retribusi,"June 8, 2023 → June 14, 2023","June 14, 2023",Tegal,30,60,0.25,Free,,
Disk Subang Polda Badminton,"June 1, 2023 → June 17, 2023","June 17, 2023",Subang,30,60,0.25,Free,,
"Disk Subang Lomba Bhayangkara ","June 1, 2023 → June 17, 2023","June 17, 2023",Subang,30,60,0.25,Free,,
Disk Subang Harlah Pancasila,"June 1, 2023 → June 7, 2023","June 7, 2023",Subang,30,60,0.25,Free,,
Disk Tegal Event Lanal,"June 1, 2023 → June 12, 2023","June 12, 2023",Tegal,30,60,0.25,Free,,
Disk Bogor HJB Polres Bogor,"June 1, 2023 → June 5, 2023","June 1, 2023 → June 5, 2023","Cibinong, Sentul",30,60,0.25,Free,,
"Disk Bogor Tilang Manual ","May 25, 2023 → May 31, 2023","May 31, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Bogor Hadapi Cuaca saat Haji,"May 25, 2023 → May 31, 2023","May 31, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Bogor Larangan Barang Haji,"May 25, 2023 → May 31, 2023","May 31, 2023","Cibinong, Sentul",30,60,0.25,Free,,
"Disk Bogor Tanggulangi Stunting ","May 25, 2023 → May 31, 2023","May 31, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Pandeglang Tablig Akbar HUT Pandeglang,"May 25, 2023 → June 4, 2023","June 4, 2023",pandeglang,30,60,0.25,Free,,
Disk Tasik Sensus Pertanian,"May 25, 2023 → May 31, 2023","May 31, 2023",Tasikmalaya,30,60,0.25,Free,,
