Name,Playing Date,end date,Location,Duration (s),Spot/day,"Slot taken ",Free/Commercial,Client,Content
Disk Bogor HUT Bogor,"May 25, 2023 → June 5, 2023","June 5, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Pandeglang Kualitas SDM Nakes,"May 24, 2023 → May 30, 2023","May 30, 2023",pandeglang,30,60,0.25,Free,,
Disk Subang Raihan WTP,"May 22, 2023 → July 19, 2023","June 19, 2023",Subang,30,60,0.25,Free,,
Disk Bandung Dirgahayu Dekranas,"May 15, 2023 → May 27, 2023","May 27, 2023",Soreang,30,60,0.25,Free,,
Disk Bandung CSS21,"May 15, 2023 → June 13, 2023","June 13, 2023",Soreang,30,60,0.25,Free,,
Disk Bandung Raih WTP,"May 13, 2023 → May 27, 2023","May 27, 2023",Soreang,30,60,0.25,Free,,
Disk Pandeglang Digitalisasi Koperasi,"May 13, 2023 → May 20, 2023","May 20, 2023",pandeglang,30,60,0.25,Free,,
Disk Bandung Simulasi CFD,"May 11, 2023 → May 16, 2023","May 16, 2023",Soreang,30,60,0.25,Free,,
Disk Bogor Wisata Edukasi Bekasi,"May 11, 2023 → May 17, 2023","May 17, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Bogor Parkville,"May 11, 2023 → May 11, 2023","May 11, 2023 → June 30, 2023",Sentul,30,60,0.25,Free,,
Disk Bogor Sebab Cuaca Terik,"May 10, 2023 → May 16, 2023","May 16, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Pandeglang Motorcross 2023,"May 9, 2023 → May 14, 2023","May 14, 2023",pandeglang,30,60,0.25,Free,,
Disk Subang Pekan Kebudayaan Daerah,"May 11, 2023 → May 31, 2023","May 31, 2023",Subang,30,60,0.25,Free,,
Disk Bogor Pengadilan Negeri Bogor,"May 7, 2023 → May 13, 2023","May 13, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Tegal HUT Tegal,"May 7, 2023 → May 31, 2023","May 31, 2023",Tegal,30,60,0.25,Free,,
Disk Bogor Maraknya Penipuan Digital,"May 4, 2023 → May 10, 2023","May 10, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Bogor Kasus Penipuan Digital,"May 4, 2023 → May 10, 2023","May 10, 2023","Cibinong, Sentul",30,60,0.25,Free,,
"Disk Bogor Jenis Penipuan Digital ","May 4, 2023 → May 10, 2023","May 10, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Pandeglang Kaduhung,"May 2, 2023 → May 5, 2023","May 5, 2023",pandeglang,30,60,0.25,Free,,
Disk Pandeglang Waspada Pungli,"May 2, 2023 → May 5, 2023","May 5, 2023",pandeglang,30,60,0.25,Free,,
Disk Tegal KPU,"April 29, 2023 → May 5, 2023","May 5, 2023",Tegal,30,60,0.25,Free,,
"Disk Tegal Bupati Sidak ","April 29, 2023 → May 5, 2023","May 5, 2023",Tegal,30,60,0.25,Free,,
Disk Bogor Waspadai install apk 2,"April 27, 2023 → May 3, 2023","May 3, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Bogor waspadai install apk 1,"April 27, 2023 → May 3, 2023","April 27, 2023 → May 3, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Bogor Desain Zoss,"April 27, 2023 → May 3, 2023","May 3, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Bogor Aturan Berkendara Zoss,"April 27, 2023 → May 3, 2023","May 3, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Grand dhika city bekasi,"April 22, 2023 → April 23, 2023","April 23, 2023",Bekasi,30,240,1,Commercial,Grand dhika city bekasi (PT. ADhi Persada Properti),Videotron GDCB
Disk Bandung Selamat Idul Fitri Bupati Bandung,"April 21, 2023 → May 4, 2023","May 4, 2023",Soreang,30,60,0.25,Free,,
Disk Tegal Selamat Idul Fitri,"April 21, 2023 → April 30, 2023","April 30, 2023",Tegal,30,60,0.25,Free,,
Disk Subang Bupati Subang,"April 21, 2023 → May 21, 2023","April 27, 2023 → May 21, 2023",Subang,30,60,0.25,Free,,
Disk Tegal LPPL Radio Slawi,"April 20, 2023 → April 30, 2023","April 30, 2023",Tegal,30,60,0.25,Free,,
Disk Bandung HUT Kab Bandung,"April 19, 2023 → May 5, 2023","May 5, 2023",Soreang,30,60,0.25,Free,,
Disk Bandung Selamat Idul Fitri,"April 18, 2023 → April 27, 2023","April 27, 2023",Soreang,30,60,0.25,Free,,
Disk Tegal Ucapan Lebaran Muspida,"April 18, 2023 → April 30, 2023","April 30, 2023",Tegal,30,60,0.25,Free,,
Disk Tegal Naraya Fest,"April 18, 2023 → May 8, 2023","May 8, 2023",Tegal,30,60,0.25,Free,,
"Disk Tasik Idul Fitri ","April 18, 2023 → May 18, 2023","May 10, 2023",Tasikmalaya,30,60,0.25,Free,,
Disk Garut Ucapan Idul Fitri FORKOPIMDA,"April 17, 2023 → April 30, 2023","April 30, 2023",Garut,30,60,0.25,Free,,
Disk Garut Ucapan Idul Fitri DPRD,"April 17, 2023 → April 30, 2023","April 30, 2023",Garut,30,60,0.25,Free,,
Disk Garut Ucapan Idul Fitri Bupati,"April 17, 2023 → April 30, 2023","April 30, 2023",Garut,30,60,0.25,Free,,
Disk Garut Wisata Explore,"April 17, 2023 → May 7, 2023","May 7, 2023",Garut,30,60,0.25,Free,,
BPN,"April 19, 2023 → May 18, 2023","May 18, 2023",Karawang,30,480,2,Commercial,PT. Gayeng Mas Abadi,LAndscape. iklan hak memperloeh informasi
BPN,"April 17, 2023 → May 17, 2023","May 17, 2023","Garut, Tasikmalaya",30,240,1,Commercial,PT. Gayeng MAs Abadi,LAndscape iklan hak memperoleh informasi
Disk Subang Ucapan Idul Fitri,"April 17, 2023 → April 28, 2023","April 28, 2023",Subang,30,60,0.25,Free,,
Disk Pandeglang Diskusi BEM Banten,"April 17, 2023 → April 19, 2023","April 19, 2023",pandeglang,30,60,0.25,Free,,
Disk Bandung Teras Seni,"April 15, 2023 → April 18, 2023","April 18, 2023",Soreang,30,60,0.25,Free,,
Disk Tegal Mudik 2023,"April 15, 2023 → May 1, 2023","May 1, 2023",Tegal,30,60,0.25,Free,,
"Disk Tegal Undian Umroh ","April 15, 2023 → April 28, 2023","April 28, 2023",Tegal,30,60,0.25,Free,,
Disk Pandeglang Hapus Denda PBBP 2,"April 13, 2023 → May 1, 2023","May 1, 2023",pandeglang,30,60,0.25,Free,,
Flash sale winner,"April 12, 2023 → April 13, 2023","April 13, 2023",Soreang,30,240,1,Commercial,PT. Adi Visi Kreasi Indonesia,Flash sale winner_Soreang
Disk Subang Bazar Ramadhan,"April 11, 2023 → April 18, 2023","April 18, 2023",Subang,30,60,0.25,Free,,
Mudik gratis idul fitri dishub Jabar,"April 10, 2023 → April 16, 2023","April 16, 2023",Bekasi,30,120,0.5,Commercial,Ranosa Kreasi,"Tutorial daftar mudik gratis bekasi "
ANDI Pilih Logo IKN,"April 9, 2023 → May 20, 2023","May 20, 2023","Bekasi, Cibinong, Garut, Karawang, Lembang, Sentul, Serang, Soreang, Subang, Tasikmalaya, Tegal, pandeglang",30,60,0.25,Free,,
Disk Tegal Cinta Rupiah 2,"April 7, 2023 → April 13, 2023","April 13, 2023",Tegal,30,60,0.25,Free,,
Disk Tegal Bayar PBB p2,"April 7, 2023 → April 13, 2023","April 13, 2023",Tegal,30,60,0.25,Free,,
"Disk Subang Hari Jadi Subang ","April 6, 2023 → April 30, 2023","April 30, 2023",Subang,30,60,0.25,Free,,
Disk Subang Upacara HUT Subang,"April 6, 2023 → April 30, 2023","April 30, 2023",Subang,30,60,0.25,Free,,
"Disk Pandeglang BPJS Kesehatan ","April 5, 2023 → April 11, 2023","April 11, 2023",pandeglang,30,60,0.25,Free,,
"Disk Subang HUT Subang ","April 5, 2023 → April 7, 2023","April 7, 2023",Subang,30,60,0.25,Free,,
Disk Pandeglang Ramadhan Kondusif,"April 4, 2023 → April 23, 2023","April 23, 2023",pandeglang,30,60,0.25,Free,,
Disk Bogor Waktu Olahraga,"April 4, 2023 → April 9, 2023","April 9, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Bogor Puasa yang Nyaman,"April 4, 2023 → April 9, 2023","April 9, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Bogor Olahraga Saat Puasa,"April 4, 2023 → April 9, 2023","April 9, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Bogor Jenis Olahraga,"April 4, 2023 → April 9, 2023","April 9, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Tegal Cinta Rupiah,"April 4, 2023 → April 9, 2023","April 9, 2023",Tegal,30,60,0.25,Free,,
Disk Pandeglang SPPT 2023,"March 30, 2023 → April 12, 2023","April 12, 2023",pandeglang,30,60,0.25,Free,,
Disk Bogor Cegah Dehidrasi,"March 29, 2023 → April 4, 2023","April 4, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Bogor Puasa jadi Detokfikasi,"March 29, 2023 → April 4, 2023","April 4, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Bogor Puasa Tidak Lemas,"March 29, 2023 → April 4, 2023","April 4, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Bogor Vitamin Perkuat Imun,"March 29, 2023 → April 4, 2023","April 4, 2023","Cibinong, Sentul",30,60,0.25,Free,,
BJB,"March 30, 2023 → March 30, 2024","March 30, 2024","Tasikmalaya, pandeglang",30,480,1,Commercial,Tunggal Eka Kencana,1. Video THR agen BJB durasi 15 Detik spot 120x
Bank BJB,"March 30, 2023 → March 30, 2024","March 30, 2024",Subang,15,240,1,Commercial,PT. Tunggal Eka Kencana,
Disk Tasik Arsip Keluarga,"March 29, 2023 → April 4, 2023","April 4, 2023",Tasikmalaya,30,60,0.25,Free,,
Disk Bekasi Ucapan Selamat Puasa,"March 25, 2023 → April 7, 2023","April 7, 2023",Bekasi,30,60,0.25,Free,,
Disk Pandeglang Berbagi di Bulan Suci,"March 25, 2023 → April 21, 2023","April 21, 2023",pandeglang,30,60,0.25,Free,,
"Disk Subang Selamat Ramadhan ","March 23, 2023 → April 23, 2023","April 23, 2023",Subang,30,60,0.25,Free,,
Disk Tegal Sidak Pelajar,"March 23, 2023 → March 29, 2023","March 29, 2023",Tegal,30,60,0.25,Free,,
Disk Bogor Ragam Kejahatan Siber,"March 21, 2023 → March 27, 2023","March 27, 2023","Cibinong, Sentul",30,60,0.25,Free,,
"Disk Karawang Lapor SPT ","March 20, 2023 → March 26, 2023","March 26, 2023",Karawang,30,60,0.25,Free,,
Disk Subang Layak Anak,"March 20, 2023 → March 31, 2023","March 31, 2023",Subang,30,60,0.25,Free,,
Hoala & Koala,"March 20, 2023 → March 21, 2023","March 21, 2023",Bekasi,30,60,0.25,Commercial,Light Bridge,Hoala Koala_BTC_30
Disk Tasik Bayar PBB,"March 18, 2023 → March 24, 2023","March 24, 2023",Tasikmalaya,30,60,0.25,Free,,
Disk Bogor Dirgahayu Satpol PP,"March 16, 2023 → March 22, 2023","March 22, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Tegal Bangga Rupiah,"March 16, 2023 → March 22, 2023","March 22, 2023",Tegal,30,60,0.25,Free,,
Disk Bandung Sanitation Summit 21,"March 14, 2023 → March 23, 2023","March 23, 2023",Soreang,30,60,0.25,Free,,
Disk Tasik HUT 73 Satpol PP,"March 13, 2023 → March 19, 2023","March 19, 2023",Tasikmalaya,30,60,0.25,Free,,
"So Klin Double Perfume ","March 10, 2023 → March 12, 2023","March 12, 2023",Soreang,30,240,1,Commercial,Wings,"So Klin Double Perfume "
RRI-Pekan Tilawatil Quran,"March 9, 2023 → March 23, 2023","March 23, 2023",Bekasi,30,240,1,Commercial,PT Kreasi Inovasi Gemilang,RRI_1920x1080_Pekan Tilawatil Quran
Disk Tegal Lanal Tegal,"March 7, 2023 → March 13, 2023","March 13, 2023",Tegal,30,60,0.25,Free,,
Disk Subang Waspada Penipuan,"March 1, 2023 → March 31, 2023","March 31, 2023",Subang,30,60,0.25,Free,,
Disk Bogor Cegah Obesitas,"February 28, 2023 → March 7, 2023","March 7, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Tegal Imbauan Pajak,"February 28, 2023 → March 7, 2023","March 7, 2023",Tegal,30,60,0.25,Free,,
Disk Garut Gowes Bareng Kapolres,"February 22, 2023 → February 26, 2023","March 26, 2023",Garut,30,60,0.25,Free,,
IFBC,"March 9, 2023 → March 10, 2023","March 10, 2023",Bekasi,30,120,0.5,Commercial,Light Bridge,IFBC_BTC
IFBC,"March 6, 2023","March 6, 2023",Bekasi,30,120,0.5,Commercial,Light Bridge,IFBC_BTC
JHT BPJS TK,"March 1, 2023 → March 31, 2023","March 31, 2023","Bekasi, Karawang",30,0.75,1,Commercial,Artha Dwi Guna,JHT
Disk Subang Stimulus Pajak,"February 23, 2023 → April 30, 2023","April 30, 2023",Subang,30,60,0.25,Free,,
Disk Tasik Pacuan Kuda TNI,"February 23, 2023 → March 13, 2023","March 13, 2023",Tasikmalaya,30,60,0.25,Free,,
Promo ASEAN,"February 22, 2023 → May 31, 2023","May 31, 2023","Bekasi, Cibinong, Garut, Karawang, Lembang, Sentul, Serang, Soreang, Subang, Tasikmalaya, Tegal, pandeglang",30,60,0.25,Free,,
Disk Bogor Pelantikan KONI,"August 29, 2023 → August 31, 2023","August 31, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Garut Gowes Bareng Kapolres,"February 22, 2023 → February 26, 2023","February 26, 2023",Garut,30,60,0.25,Free,,
Disk Bogor HPSN Bogor,"February 21, 2023 → February 22, 2023","February 22, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Bekasi HPSN Bekasi,"February 21, 2023 → February 22, 2023","February 22, 2023",Bekasi,30,60,0.25,Free,,
Disk Tegal Duta Genre II,"February 21, 2023 → February 26, 2023","February 26, 2023",Tegal,30,60,0.25,Free,,
,,,,,,,Free,,
NEO Fab Boys,"February 26, 2023","March 26, 2023",Serang,30,60,0.25,Commercial,Light Bridge,NEO Fab Boys_ciceri
Neo Fab Boys,"February 26, 2023","February 26, 2023",Serang,30,60,0.25,Commercial,Light Bridge,Neo Fab Boys_Ciceri
Bank BJB,"February 17, 2023 → February 18, 2024","February 18, 2024",Karawang,30,240,1,Commercial,Tunggal Eka Kencana,Simuda dan Tandamata
Disk Tasik Imbauan SPT Tahunan,"February 20, 2023 → March 5, 2023","March 5, 2023",Tasikmalaya,30,60,0.25,Free,,
Disk Tegal Duta Genre,"February 20, 2023 → February 26, 2023","February 26, 2023",Tegal,30,60,0.25,Free,,
Disk Karawang Sinergitas TNI,"February 20, 2023 → February 26, 2023","February 26, 2023",Karawang,30,60,0.25,Free,,
Disk Subang E-Filing,"February 17, 2023 → March 2, 2023","March 2, 2023",Subang,30,60,0.25,Free,,
Disk Subang permuktahiran NIK,"February 17, 2023 → March 2, 2023","March 2, 2023",Subang,30,60,0.25,Free,,
Disk Pandeglang Polda Banten,"February 16, 2023 → February 18, 2023","February 18, 2023",pandeglang,30,60,0.25,Free,,
Disk Garut Harlah NU,"February 15, 2023 → March 15, 2023","March 15, 2023",Garut,30,60,0.25,Free,,
Disk Bogor Diklat BPC Himdi,"February 15, 2023 → February 24, 2023","February 24, 2023","Cibinong, Sentul",30,60,0.25,Free,,
BJB,"February 15, 2023 → February 15, 2024","February 15, 2024",Cibinong,30,240,1,Commercial,Tunggal Eka Kencana,Simuda 30s dan Tandamata berjangka 30s
Disk Bekasi Wedding Exp,"February 14, 2023 → February 19, 2023","February 19, 2023",Bekasi,30,60,0.25,Free,,
Disk Subang Coklit Pemilu,"February 14, 2023 → March 31, 2023","March 31, 2023",Subang,30,60,0.25,Free,,
Disk Tegal Operasi Candi,"February 14, 2023 → February 21, 2023","February 21, 2023",Tegal,30,60,0.25,Free,,
Disk Bogor HPN 2023,"February 13, 2023 → February 16, 2023","February 16, 2023","Cibinong, Sentul",30,60,0.25,Free,,
Disk Pandeglang Bangga Indonesia,"February 10, 2023 → February 16, 2023","February 16, 2023",pandeglang,30,60,0.25,Free,,
Disk Garut HJG Bupati,"February 10, 2023 → February 17, 2023","February 17, 2023",Garut,30,60,0.25,Free,,
Disk Garut Ajakan,"February 10, 2023 → February 17, 2023","February 17, 2023",Garut,30,60,0.25,Free,,
Disk Garut HJG GFC,"February 10, 2023 → February 17, 2023","February 17, 2023",Garut,30,60,0.25,Free,,
"Disk Garut HJG ","February 10, 2023 → February 17, 2023","February 17, 2023",Garut,30,60,0.25,Free,,
"Disk Garus HJG Gebyar ","February 10, 2023 → February 17, 2023","February 17, 2023",Garut,30,60,0.25,Free,,
Disk Garus HJG Forkopimda,"February 10, 2023 → February 17, 2023","February 17, 2023",Garut,30,60,0.25,Free,,
Disk Bandung SMKF Bhakti Kencana,"February 2, 2023 → February 6, 2023","February 6, 2023",Soreang,30,60,0.25,Free,,
"Disk Tasik Batalyon ","February 2, 2023 → February 8, 2023","February 8, 2023",Tasikmalaya,30,60,0.25,Free,,
Videotron Februari Horizontal_BPN,"February 10, 2023 → March 11, 2023","March 11, 2023","Garut, Tasikmalaya",30,240,1,Commercial,PT. Gayeng Mas Abadi,Videotron Februari Horizontal_BPN
Happy Doyoung Day,"February 1, 2023","February 1, 2023",Serang,30,60,0.25,Commercial,Light Bridge,
Disk Bandung Pasang dan Jaga Batas Tanah,"January 27, 2023 → February 4, 2023","March 4, 2023",Soreang,30,60,0.25,Free,,
Ayo Pasang Patokmu,"January 27, 2023 → February 4, 2023","February 4, 2023",Soreang,30,60,0.25,Free,,
Kekuatan INA Asean,"January 27, 2023 → February 2, 2023","February 2, 2023","Bekasi, Cibinong, Garut, Karawang, Lembang, Sentul, Serang, Soreang, Subang, Tasikmalaya, Tegal, pandeglang",30,60,0.25,Free,,
DiskTegal Pelantikan PPS,"January 26, 2023 → January 31, 2023","January 31, 2023",Tegal,30,60,0.25,Free,,
Disk Pandeglang Asean Indonesia,"January 25, 2023 → January 31, 2023","January 31, 2023",pandeglang,30,60,0.25,Free,,
Disk Bandung PROKOMPIM,"January 25, 2023 → January 31, 2023","January 31, 2023",Lembang,30,60,0.25,Free,,
"Selamat Datang ","January 20, 2023 → January 27, 2023","January 27, 2023",Subang,30,60,0.25,Free,,
"Mobile JKN ","January 20, 2023 → January 26, 2023","January 26, 2023",Tasikmalaya,30,60,0.25,Free,,
Mandiri,"January 16, 2023 → March 16, 2023","March 16, 2023","Bekasi, Cibinong, Karawang, Sentul",15,480,1,Commercial,Ekpresi Cipta Kreasindo,
F1 Powerboat,"January 17, 2023 → February 26, 2023","February 26, 2023","Bekasi, Cibinong, Garut, Karawang, Lembang, Sentul, Serang, Soreang, Subang, Tasikmalaya, Tegal, pandeglang",30,60,0.25,Free,,
Disk Bogor Rakornas panel 1-4,"January 17, 2023 → January 20, 2023","January 20, 2023","Cibinong, Sentul",60,120,1,Free,,
Disk Bogor Rakornas 3 Materi,"January 17, 2023 → January 20, 2023","January 20, 2023","Cibinong, Sentul",60,180,0.75,Free,,
Disk Tegal Tablig Akbar,"January 17, 2023 → January 19, 2023","January 19, 2023",Tegal,30,60,0.25,Free,,
,,,,,,,Free,,
BJB,"January 12, 2023 → January 13, 2024","January 13, 2024",Serang,15,800,1,Commercial,Tunggal Eka kencana,"1. Motion Hamish Casual 1X2H.mp4  
2. Motion Hamish Tandamata Adventure 1X2H.mp4
3. KPPB BUNDLING 15detik 1X2H.mp4
4. Tahun Baru Hamish 1x2H.mp4"
Disk Pandeglang Suara u/ padi,"January 12, 2023 → January 21, 2023","January 21, 2023",pandeglang,30,60,0.25,Free,,
Diskominfo Pandeglang Kejaksaan Story,"January 11, 2023 → January 17, 2023","January 17, 2023",pandeglang,30,60,0.25,Free,,
Diskominfo Bandung City Sanitation,"January 5, 2023 → January 17, 2023","January 17, 2023",Soreang,30,60,0.25,Free,,
Selamat datang Subang,"January 3, 2023 → December 31, 2023","December 31, 2023",Subang,15,240,0.5,Free,,
Diskominfo Tasik ucapan tahun baru,"January 2, 2023 → January 8, 2023","January 8, 2023",Tasikmalaya,30,60,0.25,Free,,
Desa Wisata Cibeusi,"December 30, 2022 → January 28, 2023","January 28, 2023",Subang,30,60,0.25,Free,,
CEgah stunting,"December 30, 2022 → March 31, 2023","March 31, 2023",pandeglang,30,60,0.25,Free,,
Iklan Chatnews,"December 28, 2022 → December 31, 2023","December 31, 2023","Bekasi, Cibinong, Garut, Karawang, Lembang, Sentul, Serang, Soreang, Subang, Tasikmalaya, Tegal, pandeglang",15,480,1,Group,,
Iklan DIM,"June 1, 2022 → December 31, 2023","December 31, 2023","Bekasi, Cibinong, Garut, Karawang, Lembang, Sentul, Serang, Soreang, Subang, Tasikmalaya, Tegal, pandeglang",30,240,1,Group,,
Iklan indochat,"June 1, 2022 → December 31, 2023","December 31, 2023","Bekasi, Cibinong, Garut, Karawang, Lembang, Sentul, Serang, Soreang, Subang, Tasikmalaya, Tegal, pandeglang",30,480,2,Group,,
Iklan IMQ,"June 1, 2022 → December 31, 2023","December 31, 2023","Bekasi, Cibinong, Garut, Karawang, Lembang, Sentul, Serang, Soreang, Subang, Tasikmalaya, Tegal, pandeglang",15,240,0.5,Free,,
BJB,"April 25, 2022 → April 25, 2023","April 25, 2023",Tegal,15,240,1,Commercial,Tunggal Eka Kencana,